,,,Straßenverkehrsgesetz (StVG),Straßenverkehrsordnung (StVO),Fahrerlaubnisverordnung (FeV) und,Straßenverkehrszulassungsordnung (StVZO),,,
,,,,StVO regelt öffentlicher Verkehr. Grundregel - die Teilnahme am Straßenverkehr erfordert ständige Vorsich,,StVZO regelt die Teilnahme von Personen im allgemeinen und bestimmt ab wann eine Zulassung Einschränkung oder Entziehung der Zulassung erfolgen kan,,,
,,,,,Jeder Verkehrsteilnehmer hat sich so zu verhalten dass kein anderer geschädigt gefährdet behindert oder belästigt wird.,,,,
,,,wenn der Fahrer einen Taxi führen soll muss er die Ortskenntnisse im Pflichtfahrbereich nachzuweisen,,wenn der Fahrer einen Mietwagen führen soll muss er die Ortskenntnisse des Ortes nachweisen an dem der Betriebssitz ist (gilt nur in Orten mit mehr als 50.000 Ein.,,,,
,,,,allgemeine Fahrerlaubnis unbefristet erteilt,,,• Fahrerlaubnis zur Fahrgastbeförderung für 5 Jahre erteilt,,
,,,muss Führerschein Klasse B seit 2 Jahren haben oder nachweisen dass er einen Führerschein innerhalb der letzten 5 Jahre besessen hat,,muss 21 Jahr alt sein (Krankenwagen - 19 Jahre alt),muss geistig und körperlich geeignet sein ( durch ein amtsärztliches Attest),,muss bestimmte Anforderungen an das Sehvermögen erfüllen (durch ein augenärztliches Attest),muss die erforderlichen Ortskenntnisse nachweisen
,,,,sich ärztlich untersuchen lässt ob Krankheiten sind welche die Eignung zur Fahrgastbeförderung mit Taxi oder Mietwagen ausschließen.,,bestimmte Anforderungen an das Sehvermögen durch augenärztliches Attest nachgewiesen sind,•keine Tatsachen dürfen die Annahme rechtfertigen dass der Bewerber um eine Verlängerung der Fahrerlaubnis zur Fahrgastbeförderung nicht die Gewähr bietet dass er der besonderen Verantwortung bei der Beförderung von Fahrgästen gerecht wird,,
,,,Er muss die erforderlichen Ortskenntnisse für das Gebiet in dem er tätig wird nachweisen.,,,,,,
,,,,,Von erstem Einsatz des Kfz als Taxi- und Mietwagen und wenn solches Kfz länger als 1 Jahr außer Betrieb war muss es einer anerkannten Prüfstelle zur sog. „Außerordentlichen Hauptuntersuchung“ vorgeführt werden. Es werden nicht nur die Bestimmungen der StVZO sondern auch die Bestimmungen der BOKraft überprüft,,ein fabrikneues Fahrzeug wird nur die Bestimmungen der BOKraft überprüft,entsprechende Genehmigung nach PBefG vorliegen muss,
,,,,In der Fahrerlaubnisverordnung (Fahrpersonalverordnung).,,,,,
,,,,,Mit Ende des Monates welcher auf ihr notiert ist,,,,
