,Einnahmen und Ausgaben sind täglich lückenlos und fortlaufend im Kassenbuch aufzuzeichnen.,,,,,,,
,Zuerst wird die Einnahmen- und die Ausgabenseite bis zu bestimmten Stichtag unter Berücksichtigung des Kassenvortrages aufaddiert und der Sollbetrag um den Habenbetrag gekürzt. Als Saldo ergibt sich der Kassenbestand.,,,,,,,
,Auf die Richtigkeit des Geldverkehrs.,,,,,,,
,Wenn bei Überprüfung durch die Finanzbehörde keine Stichtage ermitteln an denen bei Aufrechnung und Saldierung beider Kassenspaltenbeträge unter Berücksichtigung der Kassenvorträge Überausgaben festzustellen sind.,,,,,,,
,Es werden die Gesamteinnahmen und die Gesamtausgaben festgestellt und beide Seiten durch Einfügen des Unterschiedsbetrages ausgeglichen.,,,,,,,
,Durch die Aufstellung einer Bilanz und einer Gewinn- und Verlustrechnung.,,,,,,,
,Unterkonto des Kapitalkontos das die private Entnahmen und Einlagen widerspiegelt.,,,,,,,
,Umsatzsteuer,Einkommensteuer einschließlich Lohnsteuer,Körperschaftsteuer,Gewerbesteuer,Kirchensteuer,Kraftfahrzeugsteuer,Kraftfahrzeugsteuer,Vermögenssteuer
,Umsatzsteuer,Einkommensteuer und die Kirchensteuer,Körperschaftsteuer,Gewerbesteuer,Kraftfahrzeugsteuer,Mineralölsteuer,,
,Für alle Lieferungen und Leistungen die der Unternehmer im Inland gegen Entgelt erbringt.,,,,,,,
,Umsatzsteuer ist kosten- und wettbewerbsneutral und wirtschaftlich eine Verbrauchsteuer die vom privaten Endverbraucher bezahlt wird.,,,,,,,
,Nein sie wird auf das Entgelt aufgeschlagen und muss in Rechnung gestellt werden.,,,,,,,
,Er ist auf Verlangen verpflichtet Rechnungen auszustellen in denen die Steuer getrennt ausgewies,,,,,,,
,Aus dem Umsatzsteuergesetz,,,,,,,
,Die Steuerschuld ist der Betrag der sich aus dem anzuwendenden Steuersatz ergibt,,,,,,,
,Der volle Steuersatz beträgt 19% der ermäßigte Steuersatz 7% gilt für Taxifahrten innerhalb der Gemeinde wenn die Beförderungsstrecke nicht mehr als 50 km beträgt,,,,,,,
,Nein nur die Beförderung von Personen im Taxiverkehr ist steuerprivilegiert,,,,,,,
,Ausnahmslos der allgemeine Steuersatz 19%.,,,,,,,
,Die Vorsteuer ist der Umsatzsteuerbetrag der auf der Eingangsrechnung ausgewiesen ist.,,,,,,,
,Unternehmer findet Vorsteuern auf den Rechnungen für die erworbenen Investitionsgüter (Fahrzeuge- Maschinen usw.) und auf den Lieferantenrechnungen für Reifen und Treibstoffe. Das Gleiche gilt für Reparaturrechnungen.,,,,,,,
,Die Unternehmer mit einem Vorjahresumsatz bis 17.500 € und im laufenden Jahr zu erwartenden Umsatz bis 50.000€ sind von der Umsatzsteuer auf Antrag befreit.,,,,,,,
,Die Zahllast ist: Umsatzsteuer abzüglich Vorsteuer. Es ergibt sich der Betrag der entweder ans Finanzamt abzuführen ist oder der Unternehmer vom Finanzamt erstattet bekommt (Vorsteuer überwiegt).,,,,,,,
,Genauso wie Zahllast: Umsatzsteuer abzüglich Vorsteuer für bestimmte Zeitraum,,,,,,,
,Je nach dem Steuerbetrag des Vorjahres sind monatlich (über 6.136 € Jahressteuerschuld) bzw. vierteljährlich (unter 6.136 € Jahressteuerschuld) Voranmeldungen nach amtlich vorgeschriebenem Vordruck abzugeben.,,,,,,,
,Bis zum 10 jeden Monats für den Vormonat oder das Vorvierteljahr (10.04.- 10.07.- 10.10.- 10.01.),,,,,,,
,Zu den gleichen Terminen die für die Abgabe der Voranmeldungen gelten.,,,,,,,
,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. Im Übrigen gilt nationales Recht,,,,,,,
,Die Steuer wird nach vereinbarten Entgelten berechnet. Auf Antrag kann das Finanzamt zulassen dass die Steuer nach vereinnahmten Entgelten berechnet wird wenn    nicht überschritten hat oder,Gesamtumsatz des Unternehmers im Vorjahr 125.000 € (neuen Ländern - 500.000 €),Unternehmer von der Buchführungs- und Abschlusspflicht befreit ist oder,Unternehmer Umsätze aus freier Berufstätigkeit ausführt,,,,
,Der Unternehmer ist verpflichtet solche Aufzeichnungen zu machen aus denen sich die Feststellung der Steuer und die Grundlage ihrer Berechnung ergeben,,,,,,,
,Jede Urkunde (z.B. Rechnungen Quittungen Abrechnungen usw.) mit der ein Unternehmer eine Abrechnung über eine Lieferung oder eine Leistung aufstellt,,,,,,,
,Name und Anschrift des Ausstellers und des Empfängers,Gegenstand und Datum der Leistung,Rechnungsnummer und -datum,Nettobetrag für die Leistung,Mehrwertsteuer als Satz und als Betrag,Steuernummer des Ausstellers, Bruttobetrag,
,Name und Anschrift des Ausstellers,Gegenstand und Datum der Leistung,Rechnungsnummer und – datum,Bruttobetrag,der Mehrwertsteuersatz,,,
,Die Entnahme von Gegenständen und sonstigen Leistungen für unternehmensfremde Zwecke (z.B. private Geschäftsfahrzeug-Nutzung).,,,,,,,
,Hinsichtlich der Anschaffungs- und sämtlicher Unterhaltskosten des gemischt genutzten Fahrzeuges kann er nur einen 50-prozentigen Vorsteuerabzug steuerlich geltend machen,,,,,,,
,Wenn das gemischt genutzte Kfz nur zu höchstens 5% privat ansonsten geschäftlich genutzt wird bleibt es bei vollem Vorsteuerabzug. Die geringfügige Privatnutzung ist durch das Führen eines Fahrtenbuches zu belegen.,,,,,,,
,alle natürlichen Personen unterliegen der Einkommensteuer,,,,,,,
,Arbeitnehmer (AN)ist lohnsteuerpflichtig. Lohnstreuer wird auf die Einkünfte aus nichtselbständiger Tätigkeit durch Abzug vom Arbeitslohn erhoben. Arbeitgeber (AG) haftet für Lohnsteuerabzug.,,,,,,,
,Sozialversicherungsanteil Arbeitgeber,Überstundenzuschläge,Weihnachtsgeld,Urlaubsgeld,vermögenswirksame Leistungen,Spesen,,
,Die Körperschaftsteuer ist die Einkommensteuer der Kapitalgesellschaften (AG GmbH) Genossenschaften Versicherungsvereine auf Gegenseitigkeit und sonstige juristische Personen des Privatrechts und V,,,,,,,
,Der Einkommensteuersatz steigt mit zunehmendem zu versteuerndem Einkommen von 19 % auf 45 %,,,,,,,
,25 % des zu versteuernden Einkommens,,,,,,,
,Der Solidaritätszuschlag ist eine Zuschlagsteuer zur Einkommen- und Körperschaftsteuer. Er dient den Mehrausgaben des Staates im Zusammenhang mit der Deutschen Einheit und beträgt z. Z. jährlich 5.5 % der Einkommenbzw. Körperschaftsteuer,,,,,,,
,Die Gewerbesteuer (Gemeindesteuer) ist an der Gemeinde der Betriebsstätte zu entrichten.,,,,,,,
,Der Gewinn kann durch die sog. Überschussrechnung (Gewinn = Überschuss der Betriebseinnahmen über die Betriebsausgaben) ermittelt werden,,,,,,,
,Die Anschaffungs- oder Herstellungskosten für abnutzbare Anlagegüter die dem Betrieb mehr als 1 Jahr dienen gehen in Form der AfA (Absetzung für Abnutzung) in die Gewinnermittlungsrechnung ein.,,,,,,,
,Die lineare AfA. Sie stellt die gebräuchlichste Absetzungsmethode dar,,,,,,,
,Sie können sofort im Jahr der Anschaffung voll abgesetzt werden wenn,die Anschaffungskosten 150 € nicht übersteigen und,die Anlagegüter selbständig nutzbar sind,,,,,
,Nein weil die Vorsteuer verrechnet wird.,,,,,,,
, Nein bei Fahrten im Pflichtfahrgebiet genügt tägliche Angabe des Km-Standes.,wenn eine Fahrt über das Pflichtfahrgebiet hinausgeht ist,Ziel Reiseroute Datum und Km-Stand zu Beginn und am Ende jeder einzelnen Auswärtstätigkeit und Reisezweck und aufgesuchter Geschäftspartner anzugeben,• Privatfahrten sind in jedem Fall zu erfassen hierbei genügen die Kilometerangaben,,,,
,Ja sofern die Auftragsstruktur des Betriebes der eines Taxiunternehmens ähnelt,,,,,,,
,Ein Register der beim zuständigen Amtsgericht ist in den entweder freiwillig Kaufmann sich eintragen lässt oder als KG oHG GmbH usw. von Amts wegen eintragen wird,,,,,,,
,Gerichtshof,,,,,,,
,dass er einen geeigneten Firmennamen wählt,die Bezeichnung als Zusatz führen,dass die Angaben zur Firma auf den,Geschäftsbriefen enthalten sein müssen,dass Bücher nach den Grundsätzen ordnungsgemäßer Buchführung zu führen,,,
,Bei der Einzelhandelfirma betreibt der Einzelunternehmer sein Geschäft allein. Er allein haftet alle Schulden der Firma und zwar auch mit seinem Privatvermögen,Beim GmbH betreibt der Geschäftsführer das Geschäft nicht allein. Die Haftung der Geschäftsführer beschränkt sich auf die erbrachte Einlage,,,,,,
