,,Vorauszahlung auf die Zinsen,,,,,,,
,,,,Taxi Schild muss entfernt werden,,,,,
,,,—Bilaterale Abkommen,,,,,,
,Spesen,,Übernachtungskosten,Tunnelgebühren,,Mautgebühren,,höre Kraftstoffpreise,
,,,,An den für den Betriebssitz Gemeinde behördlich zugelassenen stellen,,,,,
,,,,,,Taxi Genehmigung der deutschen Genehmigungsbehörde,,,
,,,,Handelsregister ist ein öffentliches Verzeichnis in dem alle Kaufleute eingetragen sind.,,,,,
,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,,,,,,,,
,,,Dient der Sicherung von Ansprüchen aus einem Kaufvertrag,,,,,,
,,,,,,,Ja,,
,,,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",,Ständige Vorsicht und gegenseitige Rücksichtnahme,,,,
,,,,Nach dem Bruttoverdienst,,,,,
,,,Der Halter,,,,,,
,,die Differenz ist der Kassenbestand,,,Addition alle Ausgaben,,Addition aller Einnahmenseite,,
,,,,,,,,Ermittlung der Zahllast und Traglast,
,,,,,,"Anlegen und führen von Lohnkosten, Lohnbuch",,,
,,,,10 Jahre,,,,,
,,,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,,,,,,
,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",,,,,,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,,
,,,Nur an Bushaltestellen,,,,,,
,,Sozialversicherungsbeitragstabelle,,Lohnsteuertabelle,,Lohnsteuerkarte des Arbeitnehmers,,,
,,,,Max 6 Stunden,,,,,
,,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,,,,,,,
,,,,,,,Taxi Tarif Ordnung,,
,,,,,,Nur an den seitlichen türen,,,
,,,,,Politische und religiöse Werbung Ist an Taxen unzulässig,,,,
,,,nein,,,,,,
,,50 kg,,,,,,,
,,wenn das Fahrzeug nicht bereit gehalten wird,,Fahrten zur Abholungs Adresse,Besetztfahrten,,Privatfahrten,Kurierfahrten,
,,Fahrpreisanzeiger,,Ordnungsnummer,Schild mit Unternehmer Anschrift,,,Alarmanlage,
,Radio Funk bei offenem Fenster so leise wie möglich einzustellen,Unnötiges laufen lassen des Motors,,,,,Unnötiges lautes zuschlagen von Türen vermeiden,,
,—Fachliche Eignung,,persönliche Zuverlässigkeit,,,Finanzielle Leistungsfähigkeit,,,PersonenbeförderungSchein
,"Durchführung der Hauptuntersuchung für beide Fahrzeuge inklusive der Festellung, ob die Fahrzeuge den Bestimmung der BOKraft entsprechen",,,,Der Fahrpreisanzeiger des Taxen muss bei Eichamt für geeicht werden,,dieUntersuchungsberichte und bei der Genehmigungsbehörde Vorlegen,,
,—Nachweis über Abgasuntersuchung,,,,Versicherungsdoppelkarten,,Personalausweis,Fahrzeugscheine,
,,,,Ja,,,,,
,,,Das örtliche zuständige Amtsgericht,,,,,,
,,Beurkundung der Handelsregister Anmeldung durch einen Notar,,,,,Einreichung der Anmeldung beim Amtsgericht durch den Notar,,
,,Name und Zusatz eingetragener Kaufmann oder Kauffrau,,,,,,,
,,—Genehmigungsbehörde Sofort,,,Berufsgenossenschaft Sofort,,Meldungen eigene Kfz Haftpflicht Versicherung Innerhalb von 3 Tagen,,
,,,"Ja, der Beförderungsvertrag ist bereits abgeschlossen worden. Besteht der Fahrgast auf die Erfüllung des Vertrages, so haftet der Unternehmer dafür",,,,,,
,,,,,Der Unternehmer muss hier für die Möglichkeit der Weiterfahrt des Fahrgastes Sorgen.Der Unternehmer haftet dafür,,,,
,,,,,,,"Nein, Fahrgäste aus dem Ausland dürfen von dort nicht befördert werden",,
,,,,,—PC - Drucker im Wert von 149 €,,,,
,,,,,,,"Anzeige, dass der Betrag vom Konto abgebucht ist",,
,,,"Anzeige, dass der Betrag dem Konto gutgeschrieben ist",,,,,,
,,,,,"Anweisung, einen Geldbetrag von Konto an einem anderen Konto zu schicken",,,,
,,,"Die Ermächtigung, bestimmte Forderungen vom Konto abbuchen zu lassen",,,,,,
,,,,,,"Ist eine Einweisung an einem Geldinstitut, dem Überbringer des Schecks eine bestimmte Geldsumme auszuzahlen",,,
,,,,Kann man nur bei Konto führenden Banken einlösen und erhalten dort dann den Betrag als Bargeld sofort ausgezahlt,,,,,
,,,,,,,Prüfen ob der berechtigt ist. Wenn es richtig ist bezahlen. Wenn nicht innerhalb von 2 Wochen Widerspruch beim zuständigen Amtsgericht einlegen.,,
,Wenn die Zuverlässigkeit des Unternehmers nicht mehr vorliegt,,,,,,,,
,,,Grundsätzlich nur für Fahrten innerhalb der Tarifgebietes,,,,,,
,,,,,Der Auftrag muss am Betriebssitz oder in der Wohnung des Unternehmers eingetragen sein,,-Rückkehr zum Betriebssitz Ausnahme Funk Auftrag,Buchmäßige Erfassung des Eingangs des Beförderungsauftrages (Aufbewahrungsfrist 1 Jahr),
,Nein,,,,,,,,
,,,,Ja,,,,,
,,,Grundgebühr,,Wartezeit,,KM Preis,Zuschläge,
,,Nein,,,,,,,
,Vermögensübersicht für das ganze Jahr,,,,,,,,
,,,"Die Gewinn und Verlust ist die Darstellung alle Aufwendungen und Erlöse für einen bestimmten Zeitraum, in der Regel für 1 Jahr, zur Ermittlung des Erfolges eines Unternehmens",,,,,,
,,Kfz Haftpflicht und Unfallversicherung,,,,,,,
,,,,,Nein aber der Schädiger kann unter Umständen in Regress genommen werden,,,,
,,,,Bei Bußgeldbescheide,,bei Führerscheinentzug,bei Vermögensschädenansprüchen aus einem Unfall usw.,,
,"Nach Beendigung jeder Fahrt ist zu prüfen, ob Gegenstände zurückgeblieben sind",,,Fundsachen sind unverzüglich an die Zentrale zu melden und an die von Genehmigungsbehörde benannte Stelle Fundamt abzugeben,,,,,
,,1 Jahr,,,,,,,
,,,Der Taxi Platz muss innerhalb des Betriebssitz Gemeinde des Unternehmers liegen,,,,,,
,,,,Wenn du Taxi innerhalb des Pflichtfahrgebietes unterwegs ist und zur Benutzung frei ist.,,,,,
,,,,,Max. 2 Jahre,,,,
,,,,Der Fahrzeugführer und der Fahrzeughalter,,,,,
,,Bremsen,Bereifung,Beleuchtung,,—ordnungsgemäße Befestigung der dachleuchte,,,
,—Der Unternehmer hat die für sein Unternehmen geltenden Unfallverhütungsvorschriften an geeigneter Stelle anzulegen.,,—Den mit der Durchführung der Unfallverhütung Betrauten Personen sind die Arbeitsschutz und Unfallverhütungsvorschriften auszuhändigen soweit sie Ihren Arbeitsbereich betreffen,,,Der Unternehmer hat die Versicherten über die bei Ihnen Tätigkeiten auf treffenden Gefahren vor Beschäftigung min .Einmal im Jahr zu informieren.,,,
,,Altöl fachgerecht entsorgen,,kein Auto Batterien an der Hausmüll werfen,,,Einleiten von Öl oder fetthaltigen Wasser in die Kanalisierung vermeiden,,
,Lehnen Sie den Kauf und die Beförderung von Rauschgift ab.,,,"Befördern sie weder Briefe noch Päckchen aus Gefälligkeit oder gegen Kosten Ersatz, wenn sie den Verdacht haben könnten dass etwas nicht stimmt.",,,achten Sie auf Ihr Gepäck und das Fahrzeug,Bei Schwierigkeiten informieren Sie sofort die Deutsche Auslandsvertretung oder Polizei,
,,Taxi und Mietwagen Genehmigung nach dem Personalbeförderungsgesetz,,,,,,,
,,,,,Bilaterale Vereinbarungen,,,,
,,An der Grenze die Informationstafel lesen,—Grenzbeamte oder Adac fragen,,,Blick in ein Handbuch,,,
,Der Betreiber der Vermittlungszentrale aus den Vermittlungsvertrag,,,,,,,,
,,,,,,,Anlegen von Warnkleidung,,
,,"-Es muss ein bestimmter Zeitraum, eine Mindestfahrten Zahl oder einen Mindestumsatz im Monat festgelegt werden.",Die örtliche Verordnung über die Beförderungsentgelte musst eine Pflicht zur Genehmigung oder Anzeige von Sondervereinbarung Versehen.,Die Ordnung der Verkehrsmarktes darf nicht gestört werden.,—Der Sondertarif muss schriftlich vereinbart werden.,,,,
,,,,4 Wochen zum 15. des Monats oder Monatsende.,,,,,
,,,Ja ich kann das Arbeitsverhältnis danach noch 1 Jahr verlängern also insgesamt 2 Jahre,,,,,,
,,,,,Überstundenzuschläge,Sonntag und Feiertagszuschläge,Nachtzuschläge,,
,,2 Türen rechten Längsseite,Taximeter,Alarmanlage,Ordnungsnummer,Taxischild,Unternehmerschild,,
,,Gewerbeanmeldung,,Fahrzeugbrief,,—Personalausweis (Pass),Versicherungsbestätigungskarte,,
,Bestätigung der nach BOKraft erforderlichen Taxi Ausstattung,,,,—Eichbescheinigung für den Taxameter,,,,
,—Mit einem Ölabscheider,,,,,,,,
,,,Nein,,,,,,
,,,,Es darf im Ausland nicht betriebsbereit sein,,,,,
,,Zeugen halten,Unfallprotokolle machen,,Unfallberichte schreiben,Spurensicherung,Skizzen,Feststellung technische Mängel,
,—Wer meldet es,,—was ist geschehen,,—wie viel Verletzte,,—wo ist der Unfall passiert,,
,,Öle—Batteriesäure— Altreifen—Kühlflüssigkeit— Verdünner,,,,,,,
,,,,,,"Sie dient als Nachweis im europäischen Ausland, dass für das Fahrzeug Versicherungsschutz besteht.",,,
,Genehmigungsschein,Führerschein,Fahrzeugschein,Personalbeförderungschein,Taxi Tarif Ordnung,Quittungen,Personalausweis,Sozialversicherungsausweis,
,,,,Alle 12 Monate,,,,,
,,,,,Der Halter,,,,
,,,,,,Alle Kaufleute den Grundhandelgewerbe treiben und über einen eingerichteten Geschäftsbetrieb verfügen zum Beispiel einen Laden,,,
,,Einzelunternehmer,,Personengesellschaft,,Kapitalgesellschaft,,,
,GbR —Gesellschaft bürgerlichen Rechts Keine Eintragung im Handelsregister,,,"OHG —Offene Handelsgesellschaft, Eintragung im Handelsregister Gesamtschuld Haftung",,,"KG —Kommanditgesellschaft, Haftet nur mit der Höhe der im Handelsregister eingetragen Einträge",,
,,"GmbH Gesellschaft mit beschränkter Haftung , Mindeststammkapital 25.000 € 1 Gesellschafter",,AG Aktien Gesellschaft Mindeststammkapital 50.000 € und 5 Aktionäre,,,,,
,Die private Haftung fällt weg man kann sich als Geschäftsführer einstellen.,,,,,,,,
,,,—Wagenheber 149 €,,,,,,
,,,,,Anschaffungen bis 150 € netto können Sie im Jahr der Anschaffung abgeschrieben werden,,,,
,,,Ein Abkommen zwischen zwei Staaten (Länder),,,,,,
,,Ansprüche aus einem Beförderungsvertrag verjährt nach 3 Jahren,,,,,,,
,,,,,,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",,,
,,,—Reduziert den Gewinn,,,,,,
,,,,,Um Fahrgäste ein oder aussteigen zu lassen.Wenn es der Verkehrslage zulässt,,,,
,,—21 Jahre,,,,,,,
,,,,-Durch kurzfristige Kredite,,,,,
,,,,,,,,Bei Warenkredite z.B Ratenkauf,
,,,,,Mit der Abschreibung soll die Wertminderung eines Wirtschaftsgutes gleichmäßig auf die Nutzungsdauer verteilt werden,,,,
,,,Unter Buchwert versteht man den Wert eines Wirtschaftsgutes am Ende einer Abrechnungsperiode nach Abzug der Abschreibung,,,,,,
,,,,,,"Eine stille Reserve entsteht dann, wenn die Abschreibung in ihrer Höhe über der tatsächliche Wertminderung liegen",,,
,Glasschäden,Wildschäden,,Brand,,Diebstahl,,,
,,,,,,,Mit Ablauf des auf der Plakette angegebenen Monats,,
,,,,Taxischild und Ordnungsnummer,,,,,
,,Beißkorb,,Leine,,gültige Impf Papiere müssen vorhanden sein,,,
,Ja,,,,,,,,
,,,,Bilaterale Abkommen,,,,,
,,Taxi Genehmigung der deutschen Genehmigungsbehörde,,,,,,,
,,,,,,Ja der darf Bußgeld verhängen,,,
,,,,"Nein, das ist kein Mietwagen Verkehr war nicht der Fahrgast, sondern der Unternehmer Zweck.Ziel und Ablauf der Fahrten bestimmt, benötigt wird eine Genehmigung für Ausflugfahrten",,,,,
,,Nein für die Fahrzeuge liegen keine Taxigenehmigung vor,,,,,,,
,,,,,"Umlaufkapital sind Gelder die inUmlauf sind wie Kreditkartenzahlungen, Krankenfahrten, Schecks, Rechnungsfahrten",,,,
,Bei der Bundesknapschaft Sozial Beiträge werden pauschal 30 % Bundesknappschaft bezahlt,,,,,,,,
,,,Nein Minijobs dürfen nicht bei dem selben Arbeitgeber ausgeübt werden,,,,,,
,Abschleppseil,Handlampe,Ersatzreifen,Wagenheber,Feuerlöscher,Schneeketten,,,
,,,,,Betriebsordnungskraft,,,,
,,,,Die Verordnung über den Betrieb von kraftunternehmen im Personenverkehr,,,,,
,,,Alarm lässt Scheinwerfer und hintere Fahrtrichtungsanzeiger blinken und löst zusätzlich eine Intervallfolge von Huptönen aus.,,,,,,
,,,,,,,Mietwagen,,
,,,Hypothek,Bürgerschaften,,Lebensversicherung,,,
,Taxidichte Kundenanfrage dauert ein Jahr,,,,,,,,
,,Führerschein,,Personalbeförderungsscheins Personalausweis,,,Wechselgeld 50 € Sozialversicherungsausweis,,
,"Ist ein räumliche Begrenztes gebiet, in dem nur Pkw und LKW mit einer bestimmten Abgasnorm unterwegs sein dürfen",,,,,,,,
,,,,Der Endverbraucher,,,,,
,,,,,,Nein ist keine Vorschrift,,,
,,,Unternehmer und Fahrgast Telefonisch ist ein mündliche Beförderungsvertrag,,,,,,
,,,,,Bestandskonto,,,,
,,Erfolgskonto,,,,,,,
,,,,,Bestandskonto,,,,
,,,,Erfolgskonto,,,,,
,,,,,,Nutzungsausfall Umsatz—richtig,,,
,,,,,Richtig,,,,
,,,Richtig,,,,,,
,,,,,,,Richtig,,
,,vorausschauend fahren,,Anschnallpflicht,,nicht mit Alkohol oder Drogen fahren,nicht über mühtet fahren,,
