,Industrie- und Handelskammer.,örtlichen Taxivereinigungen und Taxizentralen.,Gewerkschaften.,verschiedenen Unternehmerverkehrsverbände.,,,,
,,,,,Ja. bei der IHK und bei der Berufsgenossenschaft.,,,
,Die Spitzenorganisation des deutschen TuM-Gewerbes nennt sich „Deutscher Taxi- und Mietwagenverband e.V. (früher BZP- Bundes Zentralverband Personenverkehr - Taxi und Mietwagen).,,,,,,,,
,,,,,,,Nein.,
,,,,,,Sie sollen das Gesamtinteresse der ihnen zugehörigenGewerbetreibenden ihres Bezirks wahrnehmen für die Förderung der gewerblichen Wirtschaft wirken und dabei die wirtschaftlichen Interessen einzelner Gewerbezweige oder -betriebe abwägend und ausgleichend berücksichtigen,,
,,,,,,Die Zentrale schließt mit dem T-Unternehmer einen Vermittlungsvertrag ab. der die Bedingungen der Teilnahme am Sprechfunkverkehr erhält.,,
,In der Form der eingetragenen Genossenschaft. der GmbH oder seltener als eingetragener Verein.,,,,,,,
,,,,Die Genossenschaft tritt gegenüber dem Kunden als eine juristische Person auf. dennoch ist jeder einzelne Taxiunternehmer. mit dem später der Beförderungsvertrag zu Stande kommt. vollkommen eigenständiger Unternehmer. In Bezug auf die Taxizentrale stellen alle als Genossen aufgenommenen T-Unternehmer die Eigentümer. also die Träger und Nutznießer aller Betriebseinrichtungen dar.,,,,
,,,Die Selbsthilfe für ihre Mitglieder (z.B. Taxizentralen).,,,,,
,,Dem Einzelunternehmer kommt kein direktes Mitspracherecht der konkreten Arbeit und Zielsetzung der T-Zentrale zu. Es besteht eine Abhängigkeit der Unternehmer vom Träger der Zentrale. Seinen Einfluss kann er aber über Beiräte der Anschlusspartner geltend machen. die häufig in Taxizentralen- GmbHs eingerichtet worden sind.,,,,,,
,,,,,Ja. da ohne eine Mitgliedschaft in einer T-Zentrale zumindest in städtischen Gebieten eine ausreichenden Ertrag. sichernde Wettbewerbssituation nicht gegeben sein kann.,,,
