,Gelten die PBefG-Vorschriften und die dazu erlassenen Rechtsverordnungen. Abweichende Regelungen können sich aus internationalen Abkommen ergeben. Die ausländischen Vorschriften sind zu beachten.,,,,,,,,
,Nein. Die meisten internationalen Verkehrsabkommen erlauben dies nur. wenn hierfür eine besondere Genehmigung erteilt worden ist.,,,,,,,
,Führerschein.,Fahrerlaubnis zur Fahrgastbeförderung.,Fahrzeugschein. AU-Bescheinigung.,Genehmigungsurkunde oder den Konzessionsauszug,internationale grüne Versicherungskarte,ein Visum,Funkgenehmigungsurkunde,die geltende Taxi- und Tarifordnung,
,,Ja. der Funk muss abgeschaltet (keine Betriebsbereitschaft) oder sogar ganz ausgebaut werden. wenn keine zusätzlich Funkgenehmigung vorhandeln.,,,,,,
,,,Autobahn- und Tunnelbenutzungsgebühren.,Mautgebühren.,Steuern und Zölle.,Übernachtungsgebühren.,Erhöhung der Lohnkosten durch Überstunden und Spesen,
,es ist wichtig. dass je nach Tier eine Leine bzw. ein Beißkorb mitgeführt wird.,wenn der Eigentümer gültige Impfpapiere fürs Tier hat.,,,,,,
,,,,,,,Ja,
,Entfernen oder Abdecken des Taxi-Schildes.,,Funkverbot ohne Extra Genehmigung.,,„D“-Schild hinten (innerhalb der EU einheitlich blau).,,Beachtung unterschiedlicher Verkehrs- und Zollbestimmungen,Umsatzsteuerfreiheit für Umsätze in Drittländern.,
,Polizeikräfte (Botschaft/Konsulat. z. B. im Ostblock sinnvoll) des anderen Staates hinzuziehen,,durch die Mitnahme der grüne Versicherungskarte kann den Nachweis über zuständige Versicherung vorweisen.,,,,,
,,,,,a. eigenes Ersatzfahrzeug oder Vermittlung eines Subunternehmers dem Fahrgast anbieten. Mit Zustimmung des Fahrgastes kann der Auftrag storniert werden oder anderer Unternehmer kann den Fahrauftrag erledigen. Ein Unfall muss in verschiedenen Behörden gemeldet werden: Polizei. Berufsgenossenschaft. Durchschrift an Amt für Arbeitsschutz. Krankenkasse. StVO (bei längeren Betriebsunterbrechungen des Taxibetriebs). Kfz-Versicherung. B,,,
,,,,,,,Der Unternehmer haftet auf jeden Fall für die Erfüllung des Vertrages.,
,,,,Nein. es darf nicht beanstandet und somit auch nicht geahndet werden. Das Nummernschild reicht aus,,,,
,,,,,,Sie besorgen sich neue amtliche Kennzeichen mit nationalem Unterscheidungszeichen am linken Rand oder Sie bringen ein Nationalitätszeichen am Fahrzeugheck an.,,
,,Nein. Die Aufnahme unterwegs Winkender ist untersagt.,,,,,,
,,,,,Nein. Mietwagenunternehmer darf keine Fahrgäste von der Straße ohne vorherigen Auftrag mitnehmen. Der Mietwagen hat nach Ausführung eines Beförderungsauftrages unverzüglich Rückkehrpflicht.,,,
,Die Inlandsstrecke unterliegt der deutschen Umsatzsteuer. für die Auslandsstrecke gilt das nationale Recht des Staates. in dem dieser Teil der Beförderung stattfindet.,,,,,,,,
,,,Beförderungspreis für die gesamte Strecke multipliziert mit der Anzahl der Kilometer der inländischen Beförderungsstrecke geteilt durch Anzahl der Kilometer der Gesamtstrecke = steuerbarer Entgeltanteil für die inländische Beförderungsstrecke.,,,,,
