Sie beantragen eine Fahrererlaubnis zur Personenbeförderung (FzF/P-Schein).Was sind die Voraussetzungen dazu?(3),Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),EU Führerschein Klasse B min. 2 Jahre21 Jahre alt Persönliche Zuverlässigkeit nachweisen (ärztliche Untersuchung/Punkteregister/Strafregister),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Werkvertrag
Für welche Dauer wird eine Fahrererlaubnis zur Fahrgastbeförderung (FzF) ausgestellt?,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Man muss die gefahrenen km im Inland und im Ausland genau festhalten.Nur der Fahrtanteil im Inland ist Umsatzsteuerpflichtig.,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,5 Jahre.Verlängerung muss 3 Monate vor Ablauf beantragt werden,Nein,Den kürzesten Weg wenn der Fahrgast nichts anderes bestimmt,Den verkehrsgünstigen Weg wenn der Fahrgast nichts anderes bestimmt,In der Taxiordnung (TO)
Muss ein Mietwagenfahrer eine Ortskundeprüfung ablegen?,An behördlich zugelassenen Plätzen in der Betriebssitzgemeinde.,Nein. (wurde seit 14/08/2017 abgeschafft),Ja wenn er frei is muss er sogar.,Ja,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Min. 2 Türen auf der rechten Längsseite,Hell-Elfenbein Farbton RAL 1015,Alle 12 Monate?
Was ist im PBefG geregelt? (Welche Beförderungen unterliegen dem Personenbeförderungsrescht? Geltungsbereich?,Bei vollständiger Besetzung min 50kg,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,BereitstellungspreisPreis für die Beförderung Preis für Wartezeiten Zuschläge,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO),Das Personenbeförderungsrecht regelt die entgeltliche bzw. gewerbliche Personenbeförderung in Kraftfahrzeugen Straßenbahnen Oberleitungsbussen. Geltungsbereich: bundesweit,Warnweste jaFeuerlöscher nein,Weiterleitung der Fahraufträge Vorbestellung durch Funk an die Taxen,Ein Vermittlungsvertrag
Nennen sie 3 Freistellungsverkehre! (freigestellt vom PBefG),Werkvertrag,SchülertransporteBehindertentransporteKindergartenfahrten,Bei besonderen Witterungsverhältnissen wie Schnee Regen Glatteis Nebel Hagel.,Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft,Ab dem 60. Lebensjahr muss eine besondere medizinische Eignungsprüfung bestanden werden.,Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,Wenn keine Beförderungsabsicht vorliegt.,Die AU is Bestandteil der HU deshalb also jährlich
Für welche Beförderungen gelten die Bestimmungen des PBefG nicht?,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),Wenn das Gesamtgeld die Betriebskosten der Fahrt nicht übersteigt. Mit Krankenkraftwagen wem damit verletzte oder sonstige hilfsbedürftige Personen befördert werden die während der Fahrt fachlicher Betreuung bedürfen,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr
Was sind Inhalte des PBefG?(5),Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Unterscheidung der Beförderungsarten (Linien-Gelegenheitsverkehr)Unterscheidung der Verkehrsmittel Antrags- & Genehmigungsverfahren Einwirkungsmöglichkeiten der Genehmigungsbehörde Rechte und Pflichten des Unternehmers,Nein,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Den verkehrsgünstigen Weg wenn der Fahrgast nichts anderes bestimmt,Den kürzesten Weg wenn der Fahrgast nichts anderes bestimmt,Bei besonderen Witterungsverhältnissen wie Schnee Regen Glatteis Nebel Hagel.
Was ist Mietwagenverkehr?,Verkehr mit Mietwagen ist die Beförderung von Personen mit Personenkraftwagen die im Ganzen gemietet werden.Der Fahrgast bestimmt Zweck Ziel und Ablauf der Fahrt. Aufträge müssen am Betriebssitz eingehen. Mietwagen hat Rückkehrpflicht und Aufzeichnungspflicht (Wegstreckenzähler),Ja wenn er frei is muss er sogar.,00 Promille,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Ja,Hell-Elfenbein Farbton RAL 1015,Min. 2 Türen auf der rechten Längsseite,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015
Was ist Taxiverkehr?,Bei vollständiger Besetzung min 50kg,BereitstellungspreisPreis für die Beförderung Preis für Wartezeiten Zuschläge,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Verkehr mit Taxen ist die Beförderung von Personen mit PKW die der Unternehmer an behördlich zugelassenen Stellen bereithält und mit denen er Fahrten zu einem vom Fahrgast bestimmten Ziel ausführt.Der Unternehmer kann Beförderungsaufträge auch während einer Fahrt oder am Betriebssitz entgegennehmen,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO),Weiterleitung der Fahraufträge Vorbestellung durch Funk an die Taxen,Warnweste jaFeuerlöscher nein,00 Promille
Was bedeutet die Bezeichnung Öffentlicher Personennahverkehr (ÖPNV)?,Werkvertrag,Bei besonderen Witterungsverhältnissen wie Schnee Regen Glatteis Nebel Hagel.,Beförderung von Personen mit Straßenbahn Oberleitungsbussen und Kfz im Linienverkehr um die Verkehrsnachfrage im Stadt- der Regionalverkehr zu befriedigen.Taxen sind öffentliche Verkehrsmittel weil sie die o.g. Verkehrsarten ersetzen oder ergänzen.,Ab dem 60. Lebensjahr muss eine besondere medizinische Eignungsprüfung bestanden werden.,Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft,Wenn keine Beförderungsabsicht vorliegt.,Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,Man muss die gefahrenen km im Inland und im Ausland genau festhalten.Nur der Fahrtanteil im Inland ist Umsatzsteuerpflichtig.
