,,,Handelsgesetz,Einkommensteuergesetz,Abgabenordnung,GmbH-Gesetz - zusätzlich bei Kapitalgesellschaften,•Aktiengesetz (bei Vorliegen der entsprechenden Rechtsform der Firma),
,,,Alle Unternehmer deren Firma in das Handelsregister eingetragen ist.,,,,,
,,,Wer eine der genannten Voraussetzung erfüllt ist auch buchführungsmäßig zum Jahresabschluss verpflichtet (Inventar Gewinn- und Verlustrechnung Bilanz),• der Umsatz mehr als 350.000 € oder,• das Betriebsvermögen mehr als 87.500 € oder,• der Gewinn mehr als 30.000 €.,,
,,,müssen für jeder Arbeitnehmer ein Lohnkonto,• MwSt.-Aufzeichnungen und wenigstes ein Kassenbuch geführt werden,Ein- und Ausgabebuchführung,,,
,,,Die linke Seite des Kontos wird als Sollseite die rechte Seite als Habenseite bezeichnet,,,,,
,,,In der Abgabenordnung (AO).,,,,,
,,,• Schriftverkehr: 6 Jahre,• Bilanzen und Inventare: 10 Jahre,,,,
,,,Mit Ende des Kalenderjahres in dem die Belege entstanden sind.,,,,,
,,,• Kassenbuch - alle Bareinnahmen u. -ausgaben festhalten.,• Journal - Aufzeichnung sämtlicher Geschäftsvorfälle.,• Inventarverzeichnis - alle Vermögens- und Schuldpositionen aufnehmen.,,,
,,,vereinbarten oder vereinnahmten Entgelte für erbrachten Leistungen,• Bemessungsgrundlagen für den Eigenverbrauch,• Betriebsausgaben.,,,
,,,Das Finanzamt muss den Gewinn schätzen. Es ist ratsam auch alle Betriebsausgaben aufzuzeichnen und eine Überschussrechnung einzurichten. Danach müssen alle Betriebseinnahmen und Betriebsausgaben einzeln aufgezeichnet und am Schluss des Kalenderjahres zusammengerechnet und saldiert werden,,,,,
,,,Wenn alle Geschäftsvorfälle nach der Zeitfolge in den Grundbüchern vollständig und laufend aufgezeichnet sind.,,,,,
,,,Man zählt den Kassenbestand und vergleicht ihn mit dem Kassenbestand laut Eintragungen im Kassenbuch. Beides müssen übereinstimmen.,,,,,
,,,Bilanz ist eine Gegenüberstellung von Vermögenswerten und -quellen.,,,,,
,,,Gewinn- und Verlustrechnung ist Gegenüberstellung betrieblicher Aufwendungen und Erträge einer Abrechnungsperiode. Sie ermittelt den Gewinn oder Verlust des Unternehmens,,,,,
,,,Eigenkapital ist das Geld das ein Unternehmer in seinen Betrieb eingebracht hat. Das Eigenkapital wird beeinflusst,,,,,
,,,Die Güter mit Anschaffungskosten bis 150 € (ohne Mehrwertsteuer).,,,,,
,,,Diese Güter können im Jahr der Anschaffung abgeschrieben werden. Würde der Gegenstand einen Anschaffungspreis unter 50 € haben so darf man ihn sofort als Kosten (Betriebsbedarf) geltend machen.,,,,,
,,,Lineare Abschreibung bedeutet dass abschreibender Betrag jedes Jahr gleich groß ist. Anschaffungspreis geteilt durch Abschreibungsdauer = jährliche Abschreibungsrate. Degressive Abschreibung bedeutet dass zuerst mit einem sehr hohen Abschreibungsbetrag zu tun der dann von Jahr zu Jahr kleiner wird. Bis max. 20% vom Restwert des Vorjahres abschreiben darf.,,,,,
,,,19% von 6.000 € = 1140 € _ 1140 € Umsatzsteuer 430 € Vorsteuer 710 € Zahllast,,,,,
,,,Wenn der Rechnungsbetrag 100 € übersteigt ist die MwSt. auf der Rechnung getrennt auszuweisen.,,,,,
,,,Skonto ist ein Rabatt für schnelle Bezahlung (einer Rechnung) innerhalb vorgegebenes Zahlungszieles,,,,,
,,,Zahlungsziel ist vereinbarter Zeitpunkt zwischen Schuldner und Gläubiger zu dem eine Schuld zu begleichen ist.,,,,,
,,,• Aufnahme von Krediten Darlehn oder Hypotheken,• durch Fremdkapital.,,,,
,,,wertvollen beweglichen Dinge wie z.B. Wertpapiere Fahrzeuge Gebäude Lebensversicherung Wechsel,Belastung eines Grundstücks bzw. eines Hauses (Hypothek Grundschuld),Abtretung von Forderungen,• sich eines Bürgen zu bedienen.,,
,,,•Sicherungsübereignung - das Eigentum wird an einer Sache übertragen aber diese verbleibt in unmittelbarem Besitz ursprüngliches Eigentümers,Eigentumsvorbehalt - der Käufer bleibt so lange Eigentümer verkaufter Sache bis der Käufer diese vollständig bezahlt hat,,,,
,,,Nein die Umsatzsteuer beeinflusst den Gewinn nicht sie stellt durchlaufenden Posten dar.,,,,,
,,,Personengesellschaften: KG-Kommanditgesellschaft; BGB-Gesellschaft; oHGoffene Handelsgesellschaft; Stille Gesellschaft.,Kapitalgesellschaften: GmbH-Gesellschaft mit beschränkter Haftung AG-Aktiengesellschaft; eG-eingetragene Genossenschaf,,,,
