,unnötige Lärmbelästigung vermeiden,unnutzes Hin- und Herfahren unterlassen um andere nicht zu belästigen,,Motor nicht unnötig laufen lassen,Türen leise schließen,,,Abgasbelästigungen vermeiden,
,,Ölabscheider für die Kanalisation,,,,Entsorgungsmöglichkeiten für Waschwasser  Putzmittel  • Spraydosen  Altöl.,,
,x) Luftfilter,,,,,x) Zündung,,x) Vergaser oder Einspritzanlage,
,Vorausschauendes Fahren,,,mit dem Fehlverhalten anderer rechnen  Kinder  ältere  Personen und Behinderte verhalten sich oft anders als man denkt ,,Sicherheit auf der Straße geht persönlichen Interessen  vor,,
,Vorausschauendes Fahren  Umsicht  Anpassung an die  jeweilige Verkehrssituation,,nur verkehrssichere Fahrzeuge einsetzen ,Fahrzeuge mit ABS ausstatten,keine Überladung,an Schulen  Kindergärten und Altenheimen besonders • aufmerksam fahren,Geschwindigkeitsbegrenzungen einhalten.,,
,Bremskräfte ,Beschleunigungskräfte ,Reibungskräfte ,Gefällkräfte ,,,Fliehkräfte.,
,andere Verkehrsteilnehmer warnen ,,,,,Stelle absichern,Feuerwehr benachrichtigen,selber für die Beseitigung sorgen,
,Ölverbrauch prüfen  bei Ölverlust Ursache sofort  beseitigen lassen ,,Schadstoffausstoß kontrollieren ,,Reifendruck prüfen ,Luftfilter reinigen bzw. wechseln.,,
,,es werden die Reparaturkosten verringert,,das Fahrzeug und seine Teile nutzen nicht so schnell ab,,,,
,Beim Ölwechsel muss man das Altöl auffangen und von einer entsprechenden Firma abholen lassen  oder man bringt es einfach zur nächsten Tankstelle oder Werkstatt,,,,,,Ölfilter entsorgen;,aufpassen  dass kein Öl in die Kanalisation gelangt  (Ölabscheider).,
,größerer Taxi- oder Mietwagenbetrieb möglichst ansiedeln? Im Gewerbegebiet ansiedeln  weil hier die Lärmgrenz werte sehr hoch sind und es vor allem wegen der Nachtruhe keine Probleme mit Anwohnern gibt,,,,,,,
,,,Eine jährliche Untersuchungsfrist.,,,,,
,Dieses Gesetz wurde zum Schutz für Menschen  Tiere  Pflanzen und Umwelt vor schädlichen Umwelteinwirkun- gen und Gefahren durch geräuschvolle und luftverunreini- gende Anlagen gemacht. Es regelt u.a.,,die Lärmhöchstwerte,,den Schwefelgehalt von Diesel und Heizöl,,,,
,,,,,,Immissionen sind die auf Menschen  Tiere und Pflanzen  Boden  Wasser  Atmosphäre sowie Kultur und sonstige Sachgüter einwirkenden Luftverunreinigungen  Geräusche  Erschütterungen  Licht  Wärmestrahlen und ähnliche Umwelteinwirkungen.,,
,Emissionen sind die von Anlagen (Betriebsstätten  Maschinen  Fahrzeuge und Grundstücke) ausgehenden Luftverunreinigungen  Geräusche  Erschütterung  Licht  Wärme  Strahlen und ähnliche Erscheinungen,,,,,,,
,Am besten man fährt das Auto in Waschstraßen. Diese  Anlagen fangen nicht nur die Schadstoffe wie Öl  Fett und Teere auf  sondern halten das Waschwasser nach Reinigung desselben in einem Kreislauf,,,,,,,Wenn man eigenen Pkw-Waschplatz benutzt  muss ein  Ölabscheider vorhanden sein  der verhindert  dass Öle in die Kanalisation kommen.,
,Bundesimmissionsschutzgesetz (BimSchG) ,,Abfallgesetz (AbfG) ,,Wasserhaushaltsgesetz (WHG).,,,
,Batteriesäuren,Altreifen,Kühlflüssigkeiten,Öl- und fettverschmierte Betriebsmittel.,Kaltreiniger,Lacke,Altöl,,
,,,,,,,Das zuständige Gewerbeaufsichtsamt.,
