Welche Beförderungen unterliegen dem Personenbeförderungsrecht? Unterliegt diesen Gesetzen jede Personenbeförderung?,Handelsgesetz,Nur die entgeltliche oder geschäftsmäßige Beförderung von Personen mit Straßenbahnen. mit Oberleitungsomnibussen (Obussen) und mit Kf,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Welchen speziellen Gesetzen und die unterliegt Verordnungen Beförderung von Personen im Taxi- und Mietwagenverkehr?,Personenbeförderungsgesetz (PBefG).,Handelsgesetz,Verordnung über den Betrieb von Kraftunternehmen im Personenverkehr (BOKraft).,Fahrererlaubnis-Verordnung (FeV).,Taxenordnungen,Taxitarife.,Pflege-. 1.95%,Freistellungsverordnung.,
Welche Rechtsfolge ergibt sich. wenn eine Personenbeförderung unter die Freistellungsverordnung PBefG fällt?,Handelsgesetz,Bedarf es keiner Genehmigung und,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,müssen keinerlei Pflichten. welche sich aus dem PBefG ergeben. erfüllt werden.,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Nennen Sie die 3 wichtigsten Formen der Freistellungsverkehre!,Freigestellte,Handelsgesetz,Schüler,Arbeitslosen-. 3%,Behinderten,Pflege-. 1.95%,das Betriebsvermögen mehr als 87.500 € oder,und Kindergartenfahrten.,
Taxen und Mietwagen sind Kraftfahrzeuge. Was versteht man darunter?,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,Kraftfahrzeuge sind Straßenfahrzeuge. die durch eigene Maschinenkraft bewegt werden. ohne an Schienen oder Fahrleitung gebunden zu sein.,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Was versteht das Personenbeförderungsrecht unter dem Begriff Pkw?,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Pkw (Personenkraftwagen) sind Kfz. die nach ihrer Bauart und Ausstattung zur Beförderung von nicht mehr als 9 Personen (inkl. Fahrzeugführer) geeignet und bestimmt sind,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Welche Voraussetzungen müssen durch den Unternehmer erfüllt sein. damit eine Genehmigung für Taxi- und Mietwagenverkehr erteilt werden kann?,Unfallversicherung,muss zuverlässig sein.,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,muss fachlich geeignet sein,
Wie wird die persönliche Zuverlässigkeit des Unternehmers beim Genehmigungsverfahren geprüft?,VZR (Verkehrszentralregister. Flensburg,VZR (Verkehrszentralregister. Flensburg,polizeiliches Führungszeugnis.,Auszug aus dem Handelsregister,Bescheinigungen des Finanzamtes,Bescheinigung der Krankenkasse,Bescheinigung der Betriebsgenossenschaft,Dienst- und Prüfungszeugnisse ein,
Wann sind wirtschaftliche und finanzielle Leistungsfähigkeit des Betriebes gewährleistet? Welche Mittel sind bei der Prüfung der wirtschaftlichen und finanziellen Leistungsfähigkeit des Betriebes nachzuweisen?,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Wenn die zur Aufnahme und ordnungsgemäßen Führung des Betriebes erforderlichen finanziellen Mittel zur Verfügung stehen,Arbeitslosen-. 3%,wenn der Unternehmer folgende Eigenmittel aufbringen kann: 2.250.00 Euro für das erste Fahrzeug und 1.250.00 Euro für jedes weitere Fahrzeug,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,
a) Für wie lange wird eine Taxiund Mietwagen Genehmigung bei erstmaliger Erteilung höchstens gewährt? b) Wird die Genehmigung nach Ablauf automatisch verlängert? c) Für wie lange wird eine Taxiund Mietwagen Genehmigung höchstens wiedererteilt?,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),a) 2 Jahren für Taxen 5 Jahre für Mietwagen.,Arbeitslosen-. 3%,b) Nein. es bedarf eines besonderen Antrags.,das Betriebsvermögen mehr als 87.500 € oder,c) 5 Jahre.,Unfallversicherung,
Nennen Sie 3 Einflussgrößen. welche die Genehmigungsbehörde bei ihrer Beurteilung der Funktionsfähigkeit des örtlichen Taxigewerbes zu berücksichtigen hat. Welche weiteren vom Unternehmer unabhängigen Voraussetzungen müssen zur Genehmigungserteilung für Taxi- und Mietwagenverkehr erfüllt sei, die Nachfrage nach Beförderungsaufträgen im T-Verkehr,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),die Entwicklung der Ertrags- und Kostenlage der Unternehmen unter Einbeziehung der Einsatzzeit.,Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,die Anzahl und Ursachen der Geschäftsaufgaben.,
Welches ist die für den Taxi- und Mietwagenunternehmer zuständige Genehmigungs- und Aufsichtsbehörde?,Handelsgesetz,Straßenverkehrsbehörde einer kreisfreien Stadt oder eines Landkreises.,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,
Wer erteilt die Genehmigung?,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Genehmigungsbehörde - untere Straßenverkehrsbehörde,Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,
Benennen Sie 4 Stufen des personenbeförderungsrechtlichen Genehmigungsverfahrens!,Handelsgesetz,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Antrag des Antragstellers.,Anhörung diverser (verschiedener) Anhörstellen.,Prüfung des Antrages und der Stellungsnahmen (Meinun- gen) der Anhörstellen durch die Genehmigungsbehörde,Prüfung des Antrages und der Stellungsnahmen (Meinun- gen) der Anhörstellen durch die Genehmigungsbehörde,
Nennen Sie die gesetzlich ausgeführten Anhörstellen!,Gemeinde des Betriebssitzes. die Gewerbeaufsichtsbehörde. die IHK. die Fachgewerkschaften. die Verkehrsverbände.,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Unfallversicherung,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,Pflege-. 1.95%,Handelsgesetz,
