Weiche Pflichten hat der Arbeitgeber bei der Einstellung von Personal?,prüfen ob der AN im Besitz des Führerscheines und des Personenbeförderungsscheines ist,Führerschein,Anmeldung zur Sozialversicherung (Krankenkasse),Übernahme der Arbeitgeberanteile,Lohnsteuerkarte,Einhaltung der arbeits- und sozialrechtliche Schutzbestimmungen (Arbeitszeitdauer Kündigungsschutz),überprüfen des Sozialversicherungsausweises,Fürsorgepflicht (Berufsgenossenschaft)
Wie nennt man die Meldung. die der Arbeitgeber bei Einstellung an die Krankenkasse abgeben muss?,Anmeldung zur Sozialversicherung anhand des entsprechenden Formulars, Führerschein, Führerschein zur Fahrgastbeförderung,Lohnsteuerkarte,Sozialversicherungsausweis,Krankenkasse angeben,Kontoverbindung angeben,Unterlagen über vermögenswirksame Leistungen
Welche Unterlagen hat der Arbeitnehmer dem Arbeitgeber bei der Einstellung vorzulegen?,Führerschein,Führerschein zur Fahrgastbeförderung,Sozialversicherungsausweis,Krankenkasse angeben,Lohnsteuerkarte,Kontoverbindung angeben,Unterlagen über vermögenswirksame Leistungen,bei Ausländern: Aufenthalt- und Arbeitserlaubnis
Welche Pflichten hat der Arbeitgeber bei der Entlassung von Personal?,bei Ausländern: Aufenthalt- und Arbeitserlaubnis,Kündigung muss schriftlich erfolgen,Berücksichtigung der gesetzlichen bzw. tariflichen Kündigungsfrist und der Kündigungsschutzbestimmungen.,Abgeltung der Ansprüche aus Lohn und Urlaub,Ausstellung nicht negatives Zeugnisses (auf Verlangen),Aushändigung der Arbeitspapiere,Vereinbarung einer Probezeit und der Kündigungszeit,Abmeldung beim Sozialversicherungsträger (Krankenk)
Nennen Sie den wesentlichen Inhalt des Arbeitsvertrages. Welche Regelungen sollte ein Arbeitsvertrag mindestens beinhalten?,Beginn der Tätigkeit,Kontoverbindung angeben,Vereinbarung einer Probezeit und der Kündigungszeit während der Probezeit, tägliche Arbeitszeit und Pausen, Kündigungsfristen,Entlohnung die Vergütung von Überstunden Zuschlägen Urlaubsgeld. Weihnachtsgeld Reisekosten.,Einsatzort,Geltung von Tarifverträgen
a) Welche Beschäftigungs- verbote bestehen für Frauen. speziell für Schwangere? b)Können Sie ihr aufgrund der vor liegenden Schwangerschaft kündigen. da sie nicht mehr im Fahrdienst eingesetzt werden kann? c) wer trägt bei diesem Beschäftigungsverbot den Lohnausfall?,Ab dem 4 Schwangerschaftsmonat darf eine Fahrerin nicht mehr auf einem Taxi oder Mietwagen eingesetzt werden.,Nein. sie kann nicht mehr gekündigt werden,der Arbeitgeber ist verpflichtet. den Lohnausfall bis zum Eintreten der Schutzfristen zu zahlen. In Kleinbetrieben erhält der Arbeitgeber im Rahmen des sog. Umlageverfahrens einen Teil seiner zu zahlenden Lohnkosten von der Krankenkasse.,Führerschein,Führerschein zur Fahrgastbeförderung,der Arbeitgeber ist verpflichtet den Lohnausfall bis zum Eintreten der Schutzfristen zu zahlen. In Kleinbetrieben erhält der Arbeitgeber im Rahmen des sog. Umlageverfahrens einen Teil seiner zu zahlenden Lohnkosten von der Krankenkasse,Lohnsteuerkarte,Sozialversicherungsausweis
Unter welchen Voraussetzungen und bis zu welcher Dauer muss der AG im Krankheitsfall den Lohn fortzahlen?,Arbeitszeit ist die Zeit vom Beginn bis zum Ende der Arbeit ohne die Ruhepausen,Führerschein,Nur für Arbeitnehmer,Bis zu 6 Wochen wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt.,Durch Arbeitszeitgesetz (ArbZG),AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen wenn die Krankheit unverschuldet ist,Mind. 11 Std.,Ruhezeit kann bis zu 10 Std. verkürzt werden. wenn innerhalb von 4 Wochen andere Ruhezeit auf mind. 12 Std. verlängert wird
Was ist unter dem Begriff Entgeltfortzahlung zu verstehen?,AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen wenn die Krankheit unverschuldet ist,Durch Arbeitszeitgesetz (ArbZG),Nur für Arbeitnehmer,Arbeitszeit ist die Zeit vom Beginn bis zum Ende der Arbeit ohne die Ruhepausen.,Mind. 11 Std,Ruhezeit kann bis zu 10 Std. verkürzt werden. wenn innerhalb von 4 Wochen andere Ruhezeit auf mind. 12 Std. verlängert wird.,die werktägliche Arbeitszeit von 8 Std. überschreiten. Diese Aufzeichnungen sind 2 Jahre aufzubewahren,Nein.
Durch welches Gesetz wird die Arbeitszeit geregelt?, tägliche Arbeitszeit und Pausen,Einsatzort,Kündigungsfristen,Nein sie kann nicht mehr gekündigt werden,AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist,Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Nur für Arbeitnehmer.,Durch Arbeitszeitgesetz (ArbZG)
"Für wen gelten die Vorschriften des Arbeitszeitgesetzes (ArbZG)?",Nur für Arbeitnehmer,Mind. 11 Std,Nein sie kann nicht mehr gekündigt werden,Nur für Arbeitnehmer. ,Durch Arbeitszeitgesetz (ArbZG),"AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist. ",Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Geltung von Tarifverträgen
Was bedeutet tägliche Arbeitszeit. und wie viel Stunden beträgt sie? Welches ist die höchstzulässige Lenkzeit an einem Arbeitstag? Wie viele Stunden darf ein Fahrer in einer Arbeitsschicht ein Taxi oder einen Mietwagen lenken?,Arbeitszeit ist die Zeit vom Beginn bis zum Ende der Arbeit ohne die Ruhepausen.,Durch Arbeitszeitgesetz (ArbZG).,prüfen ob der AN im Besitz des Führerscheines und des Personenbeförderungsscheines ist,Übernahme der Arbeitgeberanteile,Fürsorgepflicht (Berufsgenossenschaft),Krankenkasse angeben,Mind. 11 Std,Arbeitszeit darf 8 Std. nicht überschreiten. Sie kann auf bis zu 10 Std. verlängert werden. wenn innerhalb von 6 Monaten oder 24 Wochen im Durchschnitt 8 Std. werktäglich nicht überschritten werden. Eine Verlängerung über 10 Std. ist nur durch Tarifvertrag möglich. wenn in die Arbeitszeit regelmäßig Arbeitsbereitschaft fällt
"Welche Ruhezeit gilt im Taxi- und Mietwagengewerbe?","Ruhezeit kann bis zu 10 Std. verkürzt werden wenn innerhalb von 4 Wochen andere Ruhezeit auf mind. 12 Std. verlängert wird. ",Durch Arbeitszeitgesetz (ArbZG).,prüfen ob der AN im Besitz des Führerscheines und des Personenbeförderungsscheines ist,Übernahme der Arbeitgeberanteile,Fürsorgepflicht (Berufsgenossenschaft),Krankenkasse angeben,Mind. 11 Std,Arbeitszeit darf 8 Std. nicht überschreiten. Sie kann auf bis zu 10 Std. verlängert werden. wenn innerhalb von 6 Monaten oder 24 Wochen im Durchschnitt 8 Std. werktäglich nicht überschritten werden. Eine Verlängerung über 10 Std. ist nur durch Tarifvertrag möglich. wenn in die Arbeitszeit regelmäßig Arbeitsbereitschaft fällt
Nach wie viel Stunden Arbeitszeit ist zu pausieren und wie viel Pause ist zu machen? Welche Pausen sind einzulegen?,30 Min. mindestens bei Arbeitszeit von 6 bis zu 9 Std. , Führerschein,45 Min. bei einer Arbeitszeit von mehr als 9 Std.," Ruhepausen können in Zeitabschnitte von mind. 15 Min. aufgeteilt werden ",Sozialversicherungsausweis,"länger als 6 Std. hintereinander dürfen Arbeitnehmer nicht ohne Ruhepause beschäftigt werden.",Kontoverbindung angeben,Unterlagen über vermögenswirksame Leistungen
"Wann muss der Arbeitgeber einen Arbeitszeitnachweis für seine Arbeitnehmer führen? ", tägliche Arbeitszeit und Pausen,"Der AG muss die Arbeitszeit des AN aufzeichnen wenn die werktägliche Arbeitszeit von 8 Std. überschreiten. Diese Aufzeichnungen sind 2 Jahre aufzubewahren.",Kündigungsfristen,Nein. sie kann nicht mehr gekündigt werden,AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist,Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Nur für Arbeitnehmer.,Durch Arbeitszeitgesetz (ArbZG)
Müssen Arbeitszeitnachweise im TuM-Gewerbe geführt werden?,Nein,Kündigungsfristen,Durch Arbeitszeitgesetz (ArbZG).,Nur für Arbeitnehmer. ,Durch Arbeitszeitgesetz (ArbZG),"AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist. ",Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Geltung von Tarifverträgen
Welche gesetzliche Kündigungsfrist gibt es?,4 Wochen zum 15. oder zum Monatsende,nach 2 Jahren – 1 Monat nur zum Monatsende,Kündigungsfristen,"nach 5/ 8/10/12/15 und 20 Jahren Beschäftigung verlängert sich die Kündigungsfrist um 1 Monat bis zu max. Länge von 7 Monaten zum Monatsende.",AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist,Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Nur für Arbeitnehmer.,Durch Arbeitszeitgesetz (ArbZG)
Welche Kriterien sind vom AG im Rahmen der von ihm vorzunehmen den Sozialauswahl bei Ausspruch betriebsbedingter Kündigung zu berücksichtigen? Nennen Sie zwei.,Lebensalter,Dauer der Betriebszugehörigkeit,Berücksichtigung der gesetzlichen bzw. tariflichen Kündigungsfrist und der Kündigungsschutzbestimmungen.,Schwerbehinderung und,Ausstellung nicht negatives Zeugnisses (auf Verlangen),Aushändigung der Arbeitspapiere,Unterhaltspflichten des Arbeitnehmers,Abmeldung beim Sozialversicherungsträger (Krankenk)
Auf welche Art und Weise kommt ein Arbeitsverhältnis zwischen AG und AN zustande?,4 Wochen zum 15. oder zum Monatsende,nach 2 Jahren – 1 Monat nur zum Monatsende,Kündigungsfristen,Durch den Abschluss eines Arbeitsvertrages,AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist,Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Nur für Arbeitnehmer.,Durch Arbeitszeitgesetz (ArbZG)
Wie viel Urlaub steht einem AN nach dem Bundesurlaubsgesetz im Kalenderjahr mindestens zu und wie viel Werktage müssen mindestens zusammenhängend gewährt werden?,"Jeder AN hat Anspruch auf 24 Werktage (Werktage sind die Tage von Montag bis Samstag) Urlaub", Führerschein,"12 Werktage müssen ihm zusammenhängend gewährt werden"," Ruhepausen können in Zeitabschnitte von mind. 15 Min. aufgeteilt werden ",Sozialversicherungsausweis,"länger als 6 Std. hintereinander dürfen Arbeitnehmer nicht ohne Ruhepause beschäftigt werden.",Kontoverbindung angeben,Unterlagen über vermögenswirksame Leistungen
Nach welcher Beschäftigungsdauer hat der AN Anspruch auf den vollen Jahresurlaub?,"Nach 6 Monaten (sog. Wartezeit) Anspruch auf den vollen Jahresurlaub.",nach 2 Jahren – 1 Monat nur zum Monatsende,Kündigungsfristen,Durch den Abschluss eines Arbeitsvertrages,AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist,Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Nur für Arbeitnehmer.,Durch Arbeitszeitgesetz (ArbZG)
